date,btc_etf_vol_proxy_usd,eth_etf_vol_proxy_usd
2025-08-29,3234631607.700348,290466873.80981445
2025-09-02,2925422534.7106934,168462240.61965942
2025-09-03,2182088252.663803,202875389.9383545
2025-09-04,2043857889.981079,189869605.04341125
2025-09-05,3039200468.2525635,328416835.2233887
2025-09-08,2365168288.3277893,142921052.3147583
2025-09-09,2285112232.1228027,119724750.48408508
2025-09-10,2915658934.8449707,201826141.05033875
2025-09-11,2253822703.692627,149262351.86576843
2025-09-12,3222821884.650421,229438436.73095703
2025-09-15,2228205200.0,209548010.5911255
2025-09-16,2251310315.1657104,190201358.3518982
2025-09-17,3040107194.2337036,306857102.22702026
2025-09-18,2568620100.0,154736746.7514038
2025-09-19,2156517168.6080933,140533051.0345459
2025-09-22,2705386029.8561096,162850931.35108948
2025-09-23,2545594443.874359,126379910.92376709
2025-09-24,1995576935.2783203,76536836.25030518
2025-09-25,3963060442.6223755,355480051.4678955
2025-09-26,3024282372.947693,216182146.06628418
2025-09-29,3320116493.3807373,139718734.06066895
2025-09-30,2476493500.0,106079359.41696167
2025-10-01,3856457318.561554,162568785.3904724
2025-10-02,4281083585.0234985,173121260.27908325
2025-10-03,5811270417.767334,206782200.0
2025-10-06,4903140908.96759,168238616.59927368
2025-10-07,5646552001.65863,380387737.575531
2025-10-08,3800446603.564453,201735653.28598022
2025-10-09,3832777304.888916,171344403.2043457
2025-10-10,6947636719.720459,486521617.40112305
2025-10-13,4730251518.518066,241370500.0
2025-10-14,4838651652.44751,395171937.71972656
2025-10-15,3131279956.236267,182745000.0
2025-10-16,5472221285.185242,344979444.20814514
2025-10-17,5687524105.813599,243765376.455307
2025-10-20,3257898701.799011,175617369.0032959
2025-10-21,5206884876.652908,284666233.7173462
2025-10-22,4434731764.669037,254522047.8635788
2025-10-23,2601951785.1169586,107542487.44850159
2025-10-24,2512000020.2072144,104835945.97244263
2025-10-27,3218173379.8217773,121491030.91239929
2025-10-28,3070355900.2944946,109288027.47802734
2025-10-29,4828261100.0,205472090.23284912
2025-10-30,3464278327.5177,162313796.45462036
2025-10-31,2946833573.91243,121327920.28999329
2025-11-03,3136688748.742676,174225240.45181274
2025-11-04,6022083272.140503,366892244.51446533
2025-11-05,3033625729.724121,112790366.60728455
2025-11-06,3142211119.8921204,166627028.8455963
2025-11-07,3769633092.383194,177510445.71876526
2025-11-10,3071898902.9117584,155208171.1719513
2025-11-11,1983538178.1295776,98915095.39604187
2025-11-12,2398992082.356262,231781443.7866211
2025-11-13,4351462913.944244,259619305.71365356
2025-11-14,5038259278.7361145,202214750.0
2025-11-17,4795591249.549103,332319671.7681885
2025-11-18,3982623128.4599304,205017435.1196289
2025-11-19,4806393514.629364,321944077.96669006
2025-11-20,5995763887.882233,428178975.0
2025-11-21,8069201800.338745,224368379.43115234
2025-11-24,4185127661.743927,206847897.70698547
2025-11-25,3224016857.336426,110675691.48902893
2025-11-26,3393862334.814453,132906535.26306152
