date,stablecoin_mcap_usd,stablecoin_mcap_change_usd,btc_oi_value_usd,eth_oi_value_usd
2025-06-21,156688688065.0,14439339.0,,
2025-06-22,156600188057.0,-88500008.0,,
2025-06-23,156907307133.0,307119076.0,,
2025-06-24,155908804295.0,-998502838.0,,
2025-06-25,157394434423.0,1485630128.0,,
2025-06-26,157917318269.0,522883846.0,,
2025-06-27,158266828122.0,349509853.0,,
2025-06-28,158303889518.0,37061396.0,,
2025-06-29,158444090587.0,140201069.0,,
2025-06-30,158520790585.0,76699998.0,,
2025-07-01,158754090584.0,233299999.0,,
2025-07-02,158695019985.0,-59070599.0,,
2025-07-03,159155198929.0,460178944.0,,
2025-07-04,159305664246.0,150465317.0,,
2025-07-05,159478756035.0,173091789.0,,
2025-07-06,159478756029.0,-6.0,,
2025-07-07,159456653254.0,-22102775.0,,
2025-07-08,159520682149.0,64028895.0,,
2025-07-09,159455682148.0,-65000001.0,,
2025-07-10,159689388348.0,233706200.0,,
2025-07-11,159994836080.0,305447732.0,,
2025-07-12,160150055260.0,155219180.0,,
2025-07-13,160394357834.0,244302574.0,,
2025-07-14,160394357833.0,-1.0,,
2025-07-15,160545757830.0,151399997.0,,
2025-07-16,160669087149.0,123329319.0,,
2025-07-17,162039387242.0,1370300093.0,,
2025-07-18,161631554286.0,-407832956.0,,
2025-07-19,161983579210.0,352024924.0,,
2025-07-20,162359770647.0,376191437.0,,
2025-07-21,162531584793.0,171814146.0,,
2025-07-22,162855465485.0,323880692.0,,
2025-07-23,163023658144.0,168192659.0,,
2025-07-24,163208856646.0,185198502.0,,
2025-07-25,163910480196.0,701623550.0,,
2025-07-26,163908480684.0,-1999512.0,,
2025-07-27,164437379973.0,528899289.0,,
2025-07-28,164434420097.0,-2959876.0,,
2025-07-29,164225730295.0,-208689802.0,,
2025-07-30,164365520605.0,139790310.0,,
2025-07-31,164558737770.0,193217165.0,,
2025-08-01,164601365339.0,42627569.0,,
2025-08-02,164715477935.0,114112596.0,,
2025-08-03,164748979754.0,33501819.0,,
2025-08-04,164733217870.0,-15761884.0,,
2025-08-05,164698218478.0,-34999392.0,,
2025-08-06,164748993280.0,50774802.0,,
2025-08-07,164521910565.0,-227082715.0,,
2025-08-08,165186565785.0,664655220.0,,
2025-08-09,165053491593.0,-133074192.0,,
2025-08-10,165260481580.0,206989987.0,,
2025-08-11,164554180218.0,-706301362.0,,
2025-08-12,164824755337.0,270575119.0,,
2025-08-13,164578283964.0,-246471373.0,,
2025-08-14,165252344340.0,674060376.0,,
2025-08-15,166316807752.0,1064463412.0,,
2025-08-16,166494712113.0,177904361.0,,
2025-08-17,166494712113.0,0.0,,
2025-08-18,167006860890.0,512148777.0,,
2025-08-19,167158301216.0,151440326.0,,
2025-08-20,167271227574.0,112926358.0,,
2025-08-21,167229075225.0,-42152349.0,,
2025-08-22,166880136932.0,-348938293.0,,
2025-08-23,166872625448.0,-7511484.0,,
2025-08-24,167090007703.0,217382255.0,,
2025-08-25,167221537708.0,131530005.0,,
2025-08-26,167238333460.0,16795752.0,,
2025-08-27,167217333459.0,-21000001.0,,
2025-08-28,167383925958.0,166592499.0,,
2025-08-29,168429502725.0,1045576767.0,,
2025-08-30,167600371918.0,-829130807.0,,
2025-08-31,168005950273.0,405578355.0,,
2025-09-01,167960422397.0,-45527876.0,,
2025-09-02,167981863668.0,21441271.0,,
2025-09-03,166871763653.0,-1110100015.0,,
2025-09-04,168285427737.0,1413664084.0,,
2025-09-05,170586184029.0,2300756292.0,,
2025-09-06,168825084008.0,-1761100021.0,,
2025-09-07,168825084007.0,-1.0,,
2025-09-08,168825084004.0,-3.0,,
2025-09-09,168877363164.0,52279160.0,,
2025-09-10,169048563162.0,171199998.0,,
2025-09-11,169411163153.0,362599991.0,,
2025-09-12,169682874987.0,271711834.0,,
2025-09-13,170272557420.0,589682433.0,,
2025-09-14,170535236555.0,262679135.0,,
2025-09-15,170178989121.0,-356247434.0,,
2025-09-16,170624947838.0,445958717.0,,
2025-09-17,170903775343.0,278827505.0,,
2025-09-18,171220679162.0,316903819.0,,
2025-09-19,171395619409.0,174940247.0,,
2025-09-20,172019220193.0,623600784.0,,
2025-09-21,172279220193.0,260000000.0,,
2025-09-22,172143434396.0,-135785797.0,,
2025-09-23,172687580334.0,544145938.0,,
2025-09-24,173008506231.0,320925897.0,,
2025-09-25,173336087144.0,327580913.0,,
2025-09-26,173577437870.0,241350726.0,,
2025-09-27,174168318428.0,590880558.0,,
2025-09-28,174376743851.0,208425423.0,,
2025-09-29,174335617850.0,-41126001.0,,
2025-09-30,174592531943.0,256914093.0,,
2025-10-01,174875230173.0,282698230.0,,
2025-10-02,175565454174.0,690224001.0,,
2025-10-03,176246763815.0,681309641.0,,
2025-10-04,176679508043.0,432744228.0,,
2025-10-05,177019405309.0,339897266.0,,
2025-10-06,176929008734.0,-90396575.0,,
2025-10-07,177463715230.0,534706496.0,,
2025-10-08,177909580029.0,445864799.0,,
2025-10-09,178140779842.0,231199813.0,,
2025-10-10,178036230155.0,-104549687.0,,
2025-10-11,179331179688.0,1294949533.0,,
2025-10-12,180064084550.0,732904862.0,,
2025-10-13,180185446251.0,121361701.0,,
2025-10-14,180246122371.0,60676120.0,,
2025-10-15,180716279786.0,470157415.0,,
2025-10-16,181396775161.0,680495375.0,,
2025-10-17,181555469430.0,158694269.0,,
2025-10-18,181734385615.0,178916185.0,,
