date,btc_realized_cap_usd,eth_realized_cap_usd
2025-02-09,1914600438987.5,
2025-02-09,1916147054250.0,
2025-02-09,1915661170112.5,
2025-02-09,1915196098987.5,
2025-02-09,1921251421525.0,
2025-02-10,1912510749768.75,
2025-02-10,1938963421306.25,
2025-02-10,1940103083012.5,
2025-02-10,1932600426265.625,
2025-02-11,1945316500425.0,
2025-02-11,1950202712831.25,
2025-02-11,1920597199125.0,
2025-02-11,1888117355162.5,
2025-02-12,1927167832162.5,
2025-02-12,1898473849625.0,
2025-02-12,1900377532687.5,
2025-02-12,1909327365675.0,
2025-02-13,1944543213553.125,
2025-02-13,1905421304309.375,
2025-02-13,1906422099490.625,
2025-02-13,1900425115406.25,
2025-02-13,1915679254671.875,
2025-02-14,1931517848375.0,
2025-02-14,1917710485900.0,
2025-02-14,1925500984425.0,
2025-02-14,1919990718712.5,
2025-02-14,1922359467721.875,
2025-02-15,1936711520303.125,
2025-02-15,1933271815184.375,
2025-02-15,1937881194981.25,
2025-02-15,1931210023012.5,
2025-02-15,1932984177731.25,
2025-02-16,1933271477593.75,
2025-02-16,1927194933187.5,
2025-02-16,1925618944218.75,
2025-02-16,1925311452868.75,
2025-02-17,1902322462950.0,
2025-02-17,1892776719578.125,
2025-02-17,1913723321721.875,
2025-02-17,1913514894431.25,
2025-02-17,1910887745171.875,
2025-02-18,1904393948825.0,
2025-02-18,1901727048221.875,
2025-02-18,1892596821187.5,
2025-02-18,1890703054687.5,
2025-02-19,1905482558962.5,
2025-02-19,1913026267075.0,
2025-02-19,1897592307428.125,
2025-02-19,1903906664784.375,
2025-02-20,1930265293734.375,
2025-02-20,1930096588487.5,
2025-02-20,1943548942418.75,
2025-02-20,1947464658478.125,
2025-02-21,1887169255062.5,
2025-02-21,1951182143218.75,
2025-02-21,1949268748546.875,
2025-02-21,1966647270009.375,
2025-02-22,1921073161425.0,
2025-02-22,1923819519015.625,
2025-02-22,1910694154706.25,
2025-02-22,1915065857118.75,
2025-02-23,1900649243250.0,
2025-02-23,1901571577028.125,
2025-02-23,1916899169259.375,
2025-02-23,1912824274753.125,
2025-02-24,1916580931165.625,
2025-02-24,1900985668400.0,
2025-02-24,1902660847237.5,
2025-02-24,1880541756625.0,
2025-02-25,1731545412900.0,
2025-02-25,1823662781015.625,
2025-02-25,1825655143025.0,
2025-02-25,1752852721125.0,
2025-02-25,1755388693450.0,
2025-02-26,1766501884050.0,
2025-02-26,1769623988825.0,
2025-02-26,1767887928125.0,
2025-02-26,1725322960800.0,
2025-02-26,1682618757050.0,
2025-02-27,1671278721000.0,
2025-02-27,1681423240200.0,
2025-02-27,1716513639750.0,
2025-02-27,1718150854875.0,
2025-02-27,1689706436425.0,
2025-02-28,1600414103550.0,
2025-02-28,1578212266150.0,
2025-02-28,1594857909375.0,
2025-02-28,1673672259525.0,
2025-02-28,1678896140650.0,
2025-03-01,1712682324900.0,
2025-03-01,1691434821375.0,
2025-03-01,1683890597575.0,
2025-03-01,1706290769025.0,
2025-03-02,1718144506925.0,
2025-03-02,1711549389550.0,
2025-03-02,1710744937875.0,
2025-03-02,1870098662500.0,
2025-03-03,1796025039325.0,
2025-03-03,1852397435050.0,
2025-03-03,1719026925000.0,
2025-03-03,1854004934800.0,
2025-03-03,1828054751925.0,
2025-03-04,1645416063225.0,
2025-03-04,1726796184250.0,
2025-03-04,1666758506900.0,
2025-03-04,1673311496050.0,
2025-03-05,1791446431950.0,
2025-03-05,1772140018359.375,
2025-03-05,1740260016300.0,
2025-03-05,1743682242375.0,
2025-03-06,1791673625343.75,
2025-03-06,1839678231868.75,
2025-03-06,1821699280812.5,
2025-03-06,1802291876409.375,
2025-03-06,1756129310484.375,
2025-03-06,1794495736965.625,
2025-03-07,1734169283412.5,
2025-03-07,1707561222581.25,
2025-03-07,1741807482581.25,
2025-03-07,1771169821656.25,
2025-03-08,1705963295446.875,
2025-03-08,1711208042221.875,
2025-03-08,1721510507812.5,
2025-03-08,1712296338178.125,
2025-03-09,1719881629709.375,
2025-03-09,1712749958634.375,
2025-03-09,1709188404746.875,
2025-03-09,1659551307656.25,
2025-03-09,1645675465593.75,
2025-03-10,1566594799021.875,
2025-03-10,1571585316984.375,
2025-03-10,1647961533412.5,
2025-03-10,1634525075990.625,
2025-03-10,1607382987065.625,
2025-03-11,1574199572737.5,
2025-03-11,1601223166456.25,
2025-03-11,1619241768068.75,
2025-03-11,1656024919500.0,
2025-03-12,1645976627021.875,
2025-03-12,1625237055312.5,
2025-03-12,1641054371450.0,
2025-03-12,1624955904000.0,
2025-03-12,1645990242750.0,
2025-03-13,1606914685700.0,
2025-03-13,1608949479984.375,
2025-03-13,1669107582687.5,
2025-03-13,1659019377750.0,
2025-03-13,1652680129350.0,
2025-03-14,1626799053437.5,
2025-03-14,1631151490368.75,
2025-03-14,1658911387725.0,
2025-03-14,1676891976262.5,
2025-03-14,1671425419387.5,
2025-03-15,1678124486887.5,
2025-03-15,1674823036725.0,
2025-03-15,1679110800468.75,
2025-03-15,1672434130675.0,
2025-03-16,1676328526571.875,
2025-03-16,1675543472746.875,
2025-03-16,1642561818750.0,
2025-03-16,1655821751237.5,
2025-03-17,1654679499656.25,
2025-03-17,1656929535009.375,
2025-03-17,1655231810440.625,
2025-03-17,1679839526015.625,
2025-03-18,1636573975593.75,
2025-03-18,1628273190087.5,
2025-03-18,1650654332015.625,
2025-03-18,1667905335234.375,
2025-03-18,1642013065153.125,
2025-03-19,1643089352418.75,
2025-03-19,1656488894228.125,
2025-03-19,1663163148978.125,
2025-03-19,1674003682584.375,
2025-03-19,1716606889593.75,
2025-03-20,1678410584771.875,
2025-03-20,1715839267268.75,
2025-03-20,1714362502837.5,
2025-03-20,1705207942896.875,
2025-03-21,1681176763406.25,
2025-03-21,1669856709621.875,
2025-03-21,1663873475578.125,
2025-03-21,1669694982993.75,
2025-03-21,1672381812715.625,
2025-03-22,1669669124984.375,
2025-03-22,1672772658971.875,
2025-03-22,1674175860296.875,
2025-03-22,1676009606484.375,
2025-03-23,1669150259700.0,
2025-03-23,1673146653828.125,
2025-03-23,1683115169896.875,
2025-03-23,1695464694740.625,
2025-03-23,1690949491328.125,
2025-03-24,1744793466603.125,
2025-03-24,1706037252203.125,
