date,stablecoin_mcap_usd
2025-05-17,151802073801.0
2025-05-18,151901465555.0
2025-05-19,152051465524.0
2025-05-20,152286729390.0
2025-05-21,152473429748.0
2025-05-22,152809591181.0
2025-05-23,153131132875.0
2025-05-24,153333908216.0
2025-05-25,153364622848.0
2025-05-26,153364622847.0
2025-05-27,153336099489.0
2025-05-28,153545087010.0
2025-05-29,153582796589.0
2025-05-30,153692315960.0
2025-05-31,153658825957.0
2025-06-01,153723758271.0
2025-06-02,153763502089.0
2025-06-03,154072283690.0
2025-06-04,154288119435.0
2025-06-05,154488400144.0
2025-06-06,154761323879.0
2025-06-07,155115000492.0
2025-06-08,155407500492.0
2025-06-09,155407500531.0
2025-06-10,156015285591.0
2025-06-11,155670088658.0
2025-06-12,156031051481.0
2025-06-13,156034350481.0
2025-06-14,156311510783.0
2025-06-15,156288710782.0
2025-06-16,156262534400.0
2025-06-17,156350343711.0
2025-06-18,156397425951.0
2025-06-19,156493925950.0
2025-06-20,156674248726.0
2025-06-21,156688688065.0
2025-06-22,156600188057.0
2025-06-23,156907307133.0
2025-06-24,155908804295.0
2025-06-25,157394434423.0
2025-06-26,157917318269.0
2025-06-27,158266828122.0
2025-06-28,158303889518.0
2025-06-29,158444090587.0
2025-06-30,158520790585.0
2025-07-01,158754090584.0
2025-07-02,158695019985.0
2025-07-03,159155198929.0
2025-07-04,159305664246.0
2025-07-05,159478756035.0
2025-07-06,159478756029.0
2025-07-07,159456653254.0
2025-07-08,159520682149.0
2025-07-09,159455682148.0
2025-07-10,159689388348.0
2025-07-11,159994836080.0
2025-07-12,160150055260.0
2025-07-13,160394357834.0
2025-07-14,160394357833.0
2025-07-15,160545757830.0
2025-07-16,160669087149.0
2025-07-17,162039387242.0
2025-07-18,161631554286.0
2025-07-19,161983579210.0
2025-07-20,162359770647.0
2025-07-21,162531584793.0
2025-07-22,162855465485.0
2025-07-23,163023658144.0
2025-07-24,163208856646.0
2025-07-25,163910480196.0
2025-07-26,163908480684.0
2025-07-27,164437379973.0
2025-07-28,164434420097.0
2025-07-29,164225730295.0
2025-07-30,164365520605.0
2025-07-31,164558737770.0
2025-08-01,164601365339.0
2025-08-02,164715477935.0
2025-08-03,164748979754.0
2025-08-04,164733217870.0
2025-08-05,164698218478.0
2025-08-06,164748993280.0
2025-08-07,164521910565.0
2025-08-08,165186565785.0
2025-08-09,165053491593.0
2025-08-10,165260481580.0
2025-08-11,164554180218.0
2025-08-12,164824755337.0
2025-08-13,164578283964.0
2025-08-14,165252344340.0
2025-08-15,166316807752.0
2025-08-16,166494712113.0
2025-08-17,166494712113.0
2025-08-18,167006860890.0
2025-08-19,167158301216.0
2025-08-20,167271227574.0
2025-08-21,167229075225.0
2025-08-22,166880136932.0
2025-08-23,166872625448.0
2025-08-24,167090007703.0
2025-08-25,167221537708.0
2025-08-26,167238333460.0
2025-08-27,167217333459.0
2025-08-28,167383925958.0
2025-08-29,168429502725.0
2025-08-30,167600371918.0
2025-08-31,168005950273.0
2025-09-01,167960422397.0
2025-09-02,167981863668.0
2025-09-03,166871763653.0
2025-09-04,168285427737.0
2025-09-05,170586184029.0
2025-09-06,168825084008.0
2025-09-07,168825084007.0
2025-09-08,168825084004.0
2025-09-09,168877363164.0
2025-09-10,169048563162.0
2025-09-11,169411163153.0
2025-09-12,169682874987.0
2025-09-13,170272557420.0
2025-09-14,170535236555.0
2025-09-15,170178989121.0
2025-09-16,170624947838.0
2025-09-17,170903775343.0
2025-09-18,171220679162.0
2025-09-19,171395619409.0
2025-09-20,172019220193.0
2025-09-21,172279220193.0
2025-09-22,172143434396.0
2025-09-23,172687580334.0
2025-09-24,173008506231.0
2025-09-25,173336087144.0
2025-09-26,173577437870.0
2025-09-27,174168318428.0
2025-09-28,174376743851.0
2025-09-29,174335617850.0
2025-09-30,174592531943.0
2025-10-01,174875230173.0
2025-10-02,175565454174.0
2025-10-03,176246763815.0
2025-10-04,176679508043.0
2025-10-05,177019405309.0
2025-10-06,176929008734.0
2025-10-07,177463715230.0
2025-10-08,177909580029.0
2025-10-09,178140779842.0
2025-10-10,178036230155.0
2025-10-11,179331179688.0
2025-10-12,180064084550.0
2025-10-13,180185446251.0
2025-10-14,180246122371.0
2025-10-15,180716279786.0
2025-10-16,181396775161.0
2025-10-17,181555469430.0
2025-10-18,181734385615.0
2025-10-19,181941057560.0
2025-10-20,181923069831.0
2025-10-21,182138675951.0
2025-10-22,182601500509.0
2025-10-23,182562751850.0
2025-10-24,182792886387.0
2025-10-25,183101507882.0
2025-10-26,183079500410.0
2025-10-27,183154451545.0
2025-10-28,183245574379.0
2025-10-29,183472999907.0
2025-10-30,183409474077.0
2025-10-31,183303971620.0
2025-11-01,183393224146.0
2025-11-02,183463980411.0
2025-11-03,183555515016.0
2025-11-04,183555461585.0
2025-11-05,183343560327.0
2025-11-06,183464373075.0
2025-11-07,183383441824.0
2025-11-08,183599119128.0
2025-11-09,183366455745.0
2025-11-10,183375955885.0
2025-11-11,183395444251.0
2025-11-12,183547300353.0
2025-11-13,184075638825.0
2025-11-14,183940205609.0
2025-11-15,183901863026.0
2025-11-16,183985483688.0
2025-11-17,183853042319.0
2025-11-18,183929638153.0
2025-11-19,183705250687.0
2025-11-20,183674741976.0
2025-11-21,184675398945.0
2025-11-22,184487293452.0
2025-11-23,184533511239.0
2025-11-24,184331338289.0
2025-11-25,184474703182.0
2025-11-26,184492141326.0
2025-11-27,184549453883.0
2025-11-28,184606393163.0
2025-11-29,184652369485.0
2025-11-30,184591649934.0
2025-12-01,184616288292.0
2025-12-02,184628089623.0
2025-12-03,184714757749.0
2025-12-04,185310328872.0
2025-12-05,185530759937.0
2025-12-06,185719839718.0
2025-12-07,185648932845.17
